State,Date,A,B,C,D,E
Alabama,3/18/20,P,,,,
Alabama,3/19/20,P,,P,,
Alabama,3/28/20,,P,,,
Alabama,2020-04-02,,,,P,
Alaska,3/14/20,,,P,,
Alaska,3/16/20,P,,,,
Alaska,3/17/20,,,P,,P
Alaska,3/18/20,,,P,,
Alaska,3/20/20,P,,,,
Alaska,3/24/20,,P,P,,
Alaska,3/25/20,,,,,P
Alaska,3/28/20,,,,P,
Arizona,3/16/20,P,,,,
Arizona,3/20/20,,,P,,
Arizona,3/31/20,,P,,P,
Arizona,2020-04-09,,,,,P
Arkansas,3/19/20,P,P,P,,
Arkansas,3/25/20,,,P,,
Arkansas,3/27/20,,,P,,
California,2020-03-11,,,P,,
California,3/17/20,,,P,,
California,3/19/20,P,P,,P,
Colorado,3/17/20,,,P,,
Colorado,3/19/20,,,P,,
Colorado,3/23/20,P,,P,,
Colorado,3/26/20,,P,,P,
Connecticut,2020-03-12,,,P,,
Connecticut,3/16/20,,,P,,
Connecticut,3/17/20,P,,,,
Connecticut,3/19/20,,,P,,
Connecticut,3/23/20,,P,,P,
Connecticut,3/26/20,,,P,,
Delaware,3/16/20,P,,P,,
Delaware,3/24/20,,P,,P,
Delaware,3/30/20,,,,,P
Delaware,2020-04-02,,,P,,
District of Columbia,3/13/20,,,P,,
District of Columbia,3/16/20,P,,P,,
District of Columbia,3/25/20,,P,,,
District of Columbia,2020-04-01,,,,P,
Florida,3/16/20,P,,,,
Florida,3/17/20,,,P,,
Florida,3/20/20,,,P,,
Florida,3/24/20,,,,,P
Florida,2020-04-03,,P,,P,
Georgia,3/18/20,P,,,,
Georgia,3/24/20,,,P,P,
Georgia,2020-04-03,,P,,P,
Hawaii,3/15/20,P,,,,
Hawaii,3/18/20,,,P,,
Hawaii,3/20/20,,,P,,
Hawaii,3/25/20,,P,,P,
Hawaii,3/26/20,,,,,P
Idaho,3/25/20,P,P,,P,
Illinois,3/13/20,,,P,,
Illinois,3/16/20,,,P,,
Illinois,3/17/20,P,,,,
Illinois,3/21/20,,P,,P,
Indiana,3/16/20,,,P,,
Indiana,3/19/20,P,,,,
Indiana,3/24/20,,P,,P,
Iowa,3/17/20,,,P,,
Iowa,3/22/20,,,P,,
Iowa,3/26/20,,,P,,
Iowa,2020-04-02,P,,,,
Kansas,3/17/20,P,,P,,
Kansas,3/19/20,,,,,P
Kansas,3/25/20,,,P,,
Kansas,3/30/20,,P,,P,
Kentucky,3/18/20,,,P,,
Kentucky,3/19/20,,,P,,
Kentucky,3/23/20,,P,,,
Kentucky,3/30/20,,,,,P
Louisiana,3/13/20,P,,,,
Louisiana,3/17/20,,,P,,
Louisiana,3/23/20,,P,,P,
Maine,3/18/20,,,P,,
Maine,3/25/20,,P,,,
Maine,2020-04-02,P,,,P,
Maine,2020-04-03,,,,,P
Maryland,2020-03-12,,,P,,
Maryland,3/16/20,P,,P,,
Maryland,3/23/20,,P,,,
Maryland,3/30/20,,P,,P,
Massachusetts,3/13/20,,,P,,
Massachusetts,3/16/20,P,,,,
Massachusetts,3/17/20,,,P,,
Massachusetts,3/24/20,,P,,P,
Massachusetts,3/27/20,,,,,P
Michigan,3/16/20,P,,,,
Michigan,3/22/20,,,P,,
Michigan,3/24/20,,P,,P,
Minnesota,3/17/20,,,P,,
Minnesota,3/18/20,P,,,,
Minnesota,3/27/20,,P,,P,
Mississippi,3/19/20,P,,,,
Mississippi,3/24/20,,,P,,
Mississippi,3/31/20,,P,,P,
Missouri,3/17/20,,,P,,
Missouri,3/19/20,P,,,,
Missouri,3/23/20,,,P,,
Missouri,3/23/20,,,P,,
Missouri,2020-04-06,,P,,P,
Montana,3/16/20,P,,,,
Montana,3/20/20,,,P,,
Montana,3/28/20,,P,,P,
Montana,3/30/20,,,,,P
Nebraska,3/16/20,,,P,,
Nebraska,2020-04-03,P,,,,
Nebraska,2020-04-10,P,,P,,
Nevada,3/16/20,P,,,,
Nevada,3/17/20,,,P,,
Nevada,3/20/20,,P,,,
Nevada,3/24/20,,,P,,
Nevada,2020-04-01,,,,P,
New Hampshire,3/16/20,P,,P,,
New Hampshire,3/23/20,,,P,,
New Hampshire,3/27/20,,P,,P,
New Hampshire,2020-04-07,,,,P,
New Jersey,3/16/20,,,P,,
New Jersey,3/18/20,P,,,,
New Jersey,3/21/20,P,P,P,P,
New Jersey,2020-04-01,,,P,,
New Jersey,2020-04-07,,,P,,
New Jersey,2020-04-10,,,P,,
New Jersey,4/13/20,,,P,,
New Mexico,3/16/20,P,,P,,
New Mexico,3/19/20,,,P,,
New Mexico,3/24/20,,P,,P,
New Mexico,3/27/20,,,,,P
New York,3/16/20,,,P,,
New York,3/18/20,P,,,,
New York,3/20/20,,P,,,
New York,3/21/20,,P,P,,
New York,3/22/20,,P,,P,
North Carolina,3/16/20,P,,P,,
North Carolina,3/17/20,,,P,,
North Carolina,3/25/20,,,P,,
North Carolina,3/30/20,,P,,P,
North Dakota,3/16/20,P,,,,
North Dakota,3/20/20,,,P,,
North Dakota,3/28/20,,P,P,,P
North Dakota,2020-04-06,,,,P,
Ohio,3/15/20,,,P,,
Ohio,3/16/20,P,,,,
Ohio,3/17/20,,,P,,
Ohio,3/21/20,,,P,,
Ohio,3/23/20,,P,,P,
Oklahoma,3/17/20,P,,,,
Oklahoma,3/25/20,,P,,P,
Oklahoma,2020-04-01,,,P,P,P
Oregon,3/16/20,,,P,,
Oregon,3/16/20,P,,,,
Oregon,3/17/20,,,P,,
Oregon,3/23/20,,P,,P,
Pennsylvania,3/16/20,P,,,,
Pennsylvania,3/17/20,,,P,,
Pennsylvania,3/21/20,,P,,,
Pennsylvania,2020-04-01,,,,P,
Rhode Island,3/17/20,,,P,,
Rhode Island,3/23/20,P,,P,,
Rhode Island,3/24/20,,,P,,P
Rhode Island,3/30/20,,P,P,P,
South Carolina,3/16/20,P,,,,
South Carolina,3/18/20,,,P,,
South Carolina,3/23/20,,,P,,
South Carolina,3/27/20,,,,,P
South Carolina,2020-04-01,,P,,,
South Carolina,2020-04-07,,,P,P,
South Dakota,3/15/20,,P,,,
South Dakota,3/23/20,,,P,,
South Dakota,3/24/20,P,,,,
Tennessee,3/20/20,P,,,,
Tennessee,3/23/20,,,P,,
Tennessee,3/23/20,,,P,,
Tennessee,3/31/20,,P,,P,
Texas,3/20/20,P,,P,,
Texas,3/28/20,,,,,P
Texas,2020-04-02,,P,,P,
Utah,3/16/20,P,,,,
Utah,3/18/20,,,P,,
Utah,3/21/20,,,P,,
Utah,2020-04-01,,,,P,
Vermont,3/13/20,,,P,,
Vermont,3/16/20,,,P,,
Vermont,3/17/20,,,P,,
Vermont,3/18/20,P,,,,
Vermont,3/23/20,,P,P,,
Vermont,3/25/20,,P,,P,
Vermont,3/30/20,,,,,P
Virginia,2020-03-12,,P,P,,
Virginia,3/16/20,P,,P,,
Virginia,3/24/20,,,P,,
Virginia,3/30/20,,P,,P,
Washington,2020-03-10,,,P,,
Washington,3/13/20,,,P,,
Washington,3/16/20,,,P,,
Washington,3/17/20,P,,,,
Washington,3/23/20,,P,P,P,
West Virginia,3/13/20,P,,,,
West Virginia,3/17/20,,,P,,
West Virginia,3/19/20,,,P,,
West Virginia,3/20/20,,,P,,
West Virginia,3/24/20,,P,,P,
West Virginia,3/31/20,,,P,,P
Wisconsin,3/17/20,,,P,,
Wisconsin,3/17/20,,,P,,
Wisconsin,3/18/20,P,,,,
Wisconsin,3/25/20,,P,,P,
Wyoming,3/19/20,P,,P,,
Wyoming,3/20/20,,,P,,
Wyoming,3/25/20,,,P,,
Wyoming,2020-04-03,,,,,P
